"source","num_articles","earliest","latest","min","max","avg","num_alerts"
Hersfelder Zeitung,3,"2015-01-28T04:16:00Z","2018-06-26T13:33:00Z",-0.110714287,0.174999997,0.016883115594585735,0
hersfelder-zeitung.de:80,1,"2014-11-04T19:54:00Z","2014-11-04T19:54:00Z",0,0,0,0
hessenschau.de,1,"2016-06-18T11:35:00Z","2016-06-18T11:35:00Z",0.103409089,0.103409089,0.10340908914804459,0
Hessisch Niedersachsische Allgemeine,4,"2016-02-26T09:12:00Z","2017-10-10T06:00:00Z",0.13059701,0.181034476,0.1520342156291008,0
Heute,6,"2016-10-01T18:52:00Z","2018-12-20T05:07:00Z",-0.22930108,0.438888878,0.028919489433368046,0
Hinterlander Anzeiger,1,"2016-03-08T14:33:00Z","2016-03-08T14:33:00Z",0.0067307693,0.0067307693,0.006730769295245409,0
HNA,1,"2014-10-24T09:42:00Z","2014-10-24T09:42:00Z",0.138235301,0.138235301,0.13823530077934265,0
Hoefner Volksblatt und Marchanzeiger,39,"2019-01-03T10:03:00Z","2019-03-12T16:06:00Z",-0.283333331,0.300000012,0.048853909047559284,3
Hoffner Volksblatt,92,"2014-02-15T03:23:00Z","2018-12-20T17:11:00Z",-0.5,0.666666687,0.08079216269644625,5
horizont.at,3,"2016-09-26T14:05:00Z","2017-09-28T21:25:00Z",0.0611842088,0.113157898,0.07850877195596695,0
htr.ch,1,"2016-06-06T10:45:00Z","2016-06-06T10:45:00Z",0.224999994,0.224999994,0.22499999403953552,0
http://blog.tagesanzeiger.ch/blog/,15,"2014-04-22T18:21:00Z","2015-10-05T14:52:00Z",-0.154285714,0.258571416,0.05193406995385885,1
idea.de,1,"2017-12-31T12:50:00Z","2017-12-31T12:50:00Z",0.214705884,0.214705884,0.21470588445663452,0
idw-online.de,1,"2018-11-06T14:06:00Z","2018-11-06T14:06:00Z",0.15384616,0.15384616,0.1538461595773697,0
ikz-online.de,3,"2018-03-04T07:15:00Z","2018-09-28T18:56:00Z",-0.0703980103,0.0819148943,0.015666918208201725,0
infocomma.net,1,"2015-10-18T21:13:00Z","2015-10-18T21:13:00Z",0.107142858,0.107142858,0.1071428582072258,0
inforadio.de,1,"2019-03-11T04:07:00Z","2019-03-11T04:07:00Z",0.0761904791,0.0761904791,0.07619047909975052,0
inFranken.de,9,"2014-02-16T16:49:00Z","2018-12-23T18:29:00Z",-0.200000003,0.307446808,0.12432412265075578,0
inside-channels.ch,1,"2016-01-22T15:39:00Z","2016-01-22T15:39:00Z",0.211538464,0.211538464,0.21153846383094788,0
inside-it.ch,132,"2014-03-11T12:52:00Z","2019-02-21T11:17:00Z",-0.411111116,0.518750012,0.09932872846261351,4
Islamische Zeitung,1,"2015-01-12T13:27:00Z","2015-01-12T13:27:00Z",0.0462962948,0.0462962948,0.046296294778585434,0
IT Magazine,25,"2014-04-28T09:15:00Z","2019-01-29T13:30:00Z",-0.170000002,0.580729187,0.19574916761368513,0
IT Reseller,9,"2016-01-22T15:57:00Z","2018-10-11T08:25:00Z",-0.125,0.373076916,0.13484888441032833,0
JUNGE FREIHEIT,16,"2015-09-09T16:09:00Z","2018-11-06T17:01:00Z",-0.246078432,0.118333332,0.005339049268513918,1
junge Welt,22,"2014-03-26T21:29:00Z","2019-03-08T18:43:00Z",-0.0851851851,0.372549027,0.07055195554328914,5
Jungfrau Zeitung,2,"2015-10-29T13:39:00Z","2016-05-09T16:31:00Z",0.108585857,0.155263156,0.13192450627684593,0
jungle-world.com,2,"2016-03-01T21:16:00Z","2016-09-28T12:03:00Z",0.0725490227,0.179078013,0.12581351771950722,0
kaernten.orf.at,1,"2016-04-01T15:17:00Z","2016-04-01T15:17:00Z",-0.0244444441,-0.0244444441,-0.024444444105029106,0
kath.net,1,"2015-02-22T10:01:00Z","2015-02-22T10:01:00Z",-0.0928571448,-0.0928571448,-0.09285714477300644,0
Kleine Zeitung,14,"2014-04-23T05:33:00Z","2018-06-26T15:33:00Z",-0.234615386,0.30595237,0.010094851654555117,3
Kolner Stadt-Anzeiger,5,"2014-05-27T10:02:00Z","2018-02-28T23:00:00Z",-0.125416666,0.153676465,0.028212983533740042,0
kreiszeitung.de,6,"2014-01-10T22:10:00Z","2018-12-31T12:05:00Z",0.0447368436,0.400000006,0.17073215606311956,0
Kronen Zeitung,13,"2014-04-13T11:24:00Z","2017-09-23T11:17:00Z",-0.349999994,0.293137252,-0.01106864890943353,0
Kurier,15,"2014-01-07T11:01:00Z","2019-03-07T05:58:00Z",-0.0280346815,0.244736835,0.10156609447052081,4
